nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Total,Ambos sexos,Rusia,2008,2986,EM
Total,Ambos sexos,Otro país del resto de Europa,2020,2020,EM
Total,Ambos sexos,Otro país del resto de Europa,2019,2191,EM
Total,Ambos sexos,Otro país del resto de Europa,2018,2065,EM
Total,Ambos sexos,Otro país del resto de Europa,2017,2109,EM
Total,Ambos sexos,Otro país del resto de Europa,2016,2206,EM
Total,Ambos sexos,Otro país del resto de Europa,2015,2236,EM
Total,Ambos sexos,Otro país del resto de Europa,2014,2490,EM
Total,Ambos sexos,Otro país del resto de Europa,2013,3522,EM
Total,Ambos sexos,Otro país del resto de Europa,2012,2896,EM
Total,Ambos sexos,Otro país del resto de Europa,2011,3160,EM
Total,Ambos sexos,Otro país del resto de Europa,2010,2939,EM
Total,Ambos sexos,Otro país del resto de Europa,2009,2801,EM
Total,Ambos sexos,Otro país del resto de Europa,2008,2547,EM
Total,Ambos sexos,África,2020,23883,EM
Total,Ambos sexos,África,2019,25344,EM
Total,Ambos sexos,África,2018,29340,EM
Total,Ambos sexos,África,2017,33576,EM
Total,Ambos sexos,África,2016,28507,EM
Total,Ambos sexos,África,2015,29270,EM
Total,Ambos sexos,África,2014,38848,EM
Total,Ambos sexos,África,2013,61455,EM
Total,Ambos sexos,África,2012,57807,EM
Total,Ambos sexos,África,2011,57146,EM
Total,Ambos sexos,África,2010,51138,EM
Total,Ambos sexos,África,2009,44599,EM
Total,Ambos sexos,África,2008,36421,EM
Total,Ambos sexos,Argelia,2020,3176,EM
Total,Ambos sexos,Argelia,2019,2830,EM
Total,Ambos sexos,Argelia,2018,3161,EM
Total,Ambos sexos,Argelia,2017,4044,EM
Total,Ambos sexos,Argelia,2016,3553,EM
Total,Ambos sexos,Argelia,2015,3252,EM
Total,Ambos sexos,Argelia,2014,4556,EM
Total,Ambos sexos,Argelia,2013,5247,EM
Total,Ambos sexos,Argelia,2012,4920,EM
Total,Ambos sexos,Argelia,2011,5108,EM
Total,Ambos sexos,Argelia,2010,4207,EM
Total,Ambos sexos,Argelia,2009,3676,EM
Total,Ambos sexos,Argelia,2008,2859,EM
Total,Ambos sexos,Gambia,2020,288,EM
Total,Ambos sexos,Gambia,2019,295,EM
Total,Ambos sexos,Gambia,2018,574,EM
Total,Ambos sexos,Gambia,2017,751,EM
Total,Ambos sexos,Gambia,2016,331,EM
Total,Ambos sexos,Gambia,2015,388,EM
